Sitio;Especie;PARCELA;INVENTARIO;TRATAMIENTO;Nac;Ndc;Ne;Superficie;Dgac;Dgdc;Dge;Doac;Dodc;Hgac;Hgdc;Hge;Hoac;Hodc;ABac;ABdc;ABe;ABT;Vac;Vdc;Ve;VT;Vmac;Vmdc;Vme;Wac;Wdc;We;Wac_b7_b27;Wdc_b7_b27;We_b7_b27;Wac_b2_n;Wdc_b2_n;We_b2_n;WacT;WdcT;WeT
Sanpablo;Pinus pinaster;5;1;E;574;311;262;0,061;26,115;28,182;23,425;31,486;31,486;10,262;10,459;10,028;11,071;11,071;30,734;19,429;11,305;30,734;147,108;94,165;52,943;147,108;0,256;0,303;0,202;4135,746;2653,143;1482,603;396,470;266,040;130,430;884,733;569,625;315,108;5416,949;3488,808;1928,141
Sanpablo;Pinus pinaster;5;2;E;311;311;0;0,061;30,439;30,439;0,000;33,929;33,929;11,237;11,237;0,000;11,857;11,857;22,665;22,665;0,000;33,970;117,144;117,144;0,000;170,087;0,377;0,377;0,000;3265,173;3265,173;0,000;338,634;338,634;0,000;680,978;680,978;0,000;4284,786;4284,786;0,000
Sanpablo;Pinus pinaster;5;3;E;311;311;0;0,061;32,636;32,636;0,000;36,479;36,479;11,863;11,863;0,000;12,386;12,386;26,055;26,055;0,000;37,360;141,144;141,144;0,000;194,087;0,454;0,454;0,000;3909,460;3909,460;0,000;421,605;421,605;0,000;800,537;800,537;0,000;5131,602;5131,602;0,000
Sanpablo;Pinus pinaster;6;1;A;533;533;0;0,060;28,256;28,256;0,000;34,188;34,188;11,556;11,556;0,000;11,963;11,963;33,442;33,442;0,000;33,442;176,361;176,361;0,000;176,361;0,331;0,331;0,000;4781,382;4781,382;0,000;467,412;467,412;0,000;972,309;972,309;0,000;6221,103;6221,103;0,000
Sanpablo;Pinus pinaster;6;2;A;533;533;0;0,060;30,356;30,356;0,000;37,000;37,000;12,275;12,275;0,000;12,871;12,871;38,599;38,599;0,000;38,599;215,331;215,331;0,000;215,331;0,404;0,404;0,000;5786,537;5786,537;0,000;584,915;584,915;0,000;1148,073;1148,073;0,000;7519,525;7519,525;0,000
Sanpablo;Pinus pinaster;6;3;A;533;533;0;0,060;32,004;32,004;0,000;39,029;39,029;12,869;12,869;0,000;13,229;13,229;42,905;42,905;0,000;42,905;247,564;247,564;0,000;247,564;0,464;0,464;0,000;6624,081;6624,081;0,000;690,884;690,884;0,000;1298,058;1298,058;0,000;8613,023;8613,023;0,000
Sanpablo;Pinus pinaster;7;1;D;482;339;143;0,056;27,938;29,765;23,024;34,600;34,600;10,636;10,904;10,000;11,514;11,514;29,557;23,609;5,948;29,557;146,150;118,553;27,596;146,150;0,303;0,350;0,193;3765,067;3055,954;709,113;382,711;321,685;61,025;800,026;649,098;150,928;4947,803;4026,737;921,066
Sanpablo;Pinus pinaster;7;2;D;339;339;0;0,056;32,531;32,531;0,000;37,629;37,629;12,263;12,263;0,000;13,229;13,229;28,201;28,201;0,000;34,149;158,541;158,541;0,000;186,138;0,468;0,468;0,000;3990,570;3990,570;0,000;423,659;423,659;0,000;797,032;797,032;0,000;5211,261;5211,261;0,000
Sanpablo;Pinus pinaster;7;3;D;339;339;0;0,056;34,832;34,832;0,000;40,236;40,236;12,584;12,584;0,000;13,529;13,529;32,330;32,330;0,000;38,278;186,020;186,020;0,000;213,616;0,549;0,549;0,000;4683,690;4683,690;0,000;524,367;524,367;0,000;933,669;933,669;0,000;6141,726;6141,726;0,000
Sanpablo;Pinus pinaster;8;1;A;576;576;0;0,059;25,219;25,219;0,000;31,529;31,529;9,920;9,920;0,000;11,029;11,029;28,785;28,785;0,000;28,785;135,984;135,984;0,000;135,984;0,236;0,236;0,000;3702,281;3702,281;0,000;351,677;351,677;0,000;795,887;795,887;0,000;4849,845;4849,845;0,000
Sanpablo;Pinus pinaster;8;2;A;576;576;0;0,059;27,393;27,393;0,000;33,871;33,871;10,382;10,382;0,000;11,657;11,657;33,962;33,962;0,000;33,962;166,648;166,648;0,000;166,648;0,289;0,289;0,000;4524,949;4524,949;0,000;454,167;454,167;0,000;963,430;963,430;0,000;5942,547;5942,547;0,000
Sanpablo;Pinus pinaster;8;3;A;576;576;0;0,059;29,244;29,244;0,000;35,807;35,807;11,132;11,132;0,000;12,271;12,271;38,707;38,707;0,000;38,707;201,343;201,343;0,000;201,343;0,350;0,350;0,000;5411,507;5411,507;0,000;557,026;557,026;0,000;1121,051;1121,051;0,000;7089,584;7089,584;0,000
Sanpablo;Pinus pinaster;9;1;E;656;295;361;0,061;26,761;29,191;24,595;32,743;32,743;10,766;11,166;10,438;11,586;11,586;36,883;19,748;17,134;36,883;185,386;100,535;84,851;185,386;0,283;0,341;0,235;5155,703;2803,517;2352,187;493,921;282,022;211,900;1072,646;585,786;486,861;6722,271;3671,324;3050,947
Sanpablo;Pinus pinaster;9;2;E;295;295;0;0,061;32,016;32,016;0,000;35,414;35,414;11,900;11,900;0,000;12,186;12,186;23,756;23,756;0,000;40,891;128,169;128,169;0,000;213,020;0,434;0,434;0,000;3546,932;3546,932;0,000;375,312;375,312;0,000;725,132;725,132;0,000;4647,375;4647,375;0,000
Sanpablo;Pinus pinaster;9;3;E;295;295;0;0,061;34,773;34,773;0,000;38,450;38,450;12,171;12,171;0,000;12,271;12,271;28,023;28,023;0,000;45,158;154,142;154,142;0,000;238,993;0,523;0,523;0,000;4278,982;4278,982;0,000;487,500;487,500;0,000;878,696;878,696;0,000;5645,179;5645,179;0,000
